subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
78.0,100.0,3.0,1758.0,22.232,24.9643,25.5028,20.5509,24.7805
78.0,100.0,3.0,1759.0,22.8399,25.3762,23.7198,20.1594,25.1854
78.0,100.0,3.0,1760.0,22.9068,24.9967,20.8709,18.8053,24.7956
78.0,100.0,3.0,1761.0,21.6475,23.9028,20.7967,18.1983,23.13
78.0,100.0,3.0,1762.0,19.8938,22.4564,19.9867,17.7799,22.0
78.0,100.0,3.0,1763.0,21.382,23.6672,20.0928,18.1219,23.6852
78.0,100.0,3.0,1764.0,20.9366,22.5711,20.1314,16.5892,22.8909
78.0,100.0,3.0,1765.0,20.0763,21.2773,19.4482,15.3741,22.0542
78.0,100.0,3.0,1766.0,19.038,21.1706,18.7414,15.4596,21.1292
78.0,100.0,3.0,1767.0,18.8468,21.4904,17.9741,15.5689,20.4985
78.0,100.0,3.0,1768.0,17.7185,20.3976,16.2043,14.5524,18.6535
78.0,100.0,3.0,1769.0,16.6561,18.8385,15.417,14.141,17.98
78.0,100.0,3.0,1770.0,17.4436,19.1164,16.3449,14.5567,18.2591
78.0,100.0,3.0,1771.0,19.3514,20.8883,18.8924,16.6237,20.3367
78.0,100.0,3.0,1772.0,18.6354,20.5699,23.4269,17.675,21.8386
78.0,100.0,3.0,1773.0,17.3044,19.4421,24.3663,16.7124,20.4323
78.0,100.0,3.0,1774.0,15.3554,17.8035,23.4544,16.3908,18.9057
78.0,100.0,3.0,1775.0,16.0703,18.9515,23.2163,17.6721,19.1687
78.0,100.0,3.0,1776.0,17.5045,19.9189,22.7277,17.6821,20.8475
78.0,100.0,3.0,1777.0,16.5086,18.3023,18.8354,14.8265,19.5871
78.0,100.0,3.0,1778.0,15.4257,17.0974,17.6248,13.4678,18.9933
78.0,100.0,3.0,1779.0,12.6196,14.1525,16.6749,11.6543,17.7682
78.0,100.0,3.0,1780.0,8.797,10.3351,13.4116,8.1492,13.1376
78.0,100.0,3.0,1781.0,5.3836,6.2455,11.6429,4.6271,9.7888
78.0,100.0,3.0,1782.0,4.3243,5.2845,11.1457,3.006,8.8135
78.0,100.0,3.0,1783.0,4.1381,5.4074,10.8271,2.97,8.285
78.0,100.0,3.0,1784.0,3.1652,4.4006,7.2396,0.9519,5.9773
78.0,100.0,3.0,1785.0,3.007,4.1418,2.0757,-1.5497,3.938
78.0,100.0,3.0,1786.0,2.6619,4.2437,0.6921,-2.439,3.2451
78.0,100.0,3.0,1787.0,4.3489,6.4863,2.6793,-0.1741,5.3713
78.0,100.0,3.0,1788.0,5.9432,7.2579,4.0612,0.9318,6.8065
78.0,100.0,3.0,1789.0,6.2616,7.326,2.4871,0.4012,7.108
78.0,100.0,3.0,1790.0,7.5564,8.7216,3.9971,1.1766,7.8658
78.0,100.0,3.0,1791.0,8.9129,10.4504,6.2338,3.3468,9.7934
78.0,100.0,3.0,1792.0,10.0016,10.3815,6.304,3.6879,10.5727
78.0,10.0,1.0,1587.0,-14.1164,-13.0434,-18.1508,-12.9305,-9.168
78.0,10.0,1.0,1588.0,-14.9452,-14.3415,-19.178,-14.5244,-11.2306
78.0,10.0,1.0,1589.0,-15.3373,-14.7737,-17.9711,-15.1743,-12.2335
78.0,10.0,1.0,1590.0,-14.4151,-13.513,-18.2671,-14.9425,-11.5893
78.0,10.0,1.0,1591.0,-12.3822,-11.0701,-17.795,-13.2605,-9.5492
78.0,10.0,1.0,1592.0,-13.382,-11.675,-17.4444,-12.9239,-10.2155
78.0,10.0,1.0,1593.0,-16.4807,-14.7798,-18.9574,-15.0192,-11.9209
78.0,10.0,1.0,1594.0,-16.203,-14.6675,-18.9626,-14.3421,-11.6429
78.0,10.0,1.0,1595.0,-17.4612,-17.0375,-19.2892,-17.5024,-14.1479
78.0,10.0,1.0,1596.0,-18.0624,-18.089,-18.4124,-18.7244,-15.1976
78.0,10.0,1.0,1597.0,-20.3814,-19.9249,-16.2712,-17.6422,-14.8881
78.0,10.0,1.0,1598.0,-23.8941,-23.6425,-20.1667,-20.7915,-17.7494
78.0,10.0,1.0,1599.0,-25.0332,-25.6177,-24.8409,-24.1324,-20.6337
78.0,10.0,1.0,1600.0,-24.9719,-25.5985,-24.9712,-24.1415,-20.758
78.0,10.0,1.0,1601.0,-23.5049,-23.296,-22.5495,-22.4018,-18.2939
78.0,10.0,1.0,1602.0,-24.6888,-23.4164,-22.1915,-22.0119,-18.6422
78.0,10.0,1.0,1603.0,-25.6423,-24.1702,-20.3103,-21.9313,-20.2908
78.0,10.0,1.0,1604.0,-25.308,-24.5393,-17.9591,-22.559,-19.6383
78.0,10.0,1.0,1605.0,-25.0125,-24.4639,-17.467,-22.6434,-18.8807
78.0,10.0,1.0,1606.0,-25.446,-24.2059,-17.3326,-22.0695,-19.5989
78.0,10.0,1.0,1607.0,-27.426,-25.7567,-20.1796,-23.5833,-21.0579
78.0,10.0,1.0,1608.0,-27.8735,-27.3471,-28.5483,-26.9095,-22.2983
78.0,10.0,1.0,1609.0,-27.8811,-27.0338,-32.8003,-27.859,-22.6241
78.0,10.0,1.0,1610.0,-27.6135,-25.8819,-30.0091,-25.615,-20.4987
78.0,10.0,1.0,1611.0,-25.1124,-23.4169,-26.8366,-22.5034,-17.0423
78.0,10.0,1.0,1612.0,-23.3901,-21.7178,-25.7885,-20.3402,-15.6802
